General Capability,Element,Sub-Element,Description,Level,Code,Indicator
Literacy,Writing,Handwriting and keyboarding,,Level 4,LWHwK4.2,uses spaces between handwritten words
Literacy,Writing,Handwriting and keyboarding,,Level 4,LWHwK4.3,positions letters and words on a line
Literacy,Writing,Handwriting and keyboarding,,Level 4,LWHwK4.4,"demonstrates keyboarding skills by typing short letter clusters and short common words as single units (e.g. ""er"", ""ing"", ""the"", ""my"")"
Literacy,Writing,Handwriting and keyboarding,,Level 4,LWHwK4.5,types using spaces between words and sentence punctuation
Literacy,Writing,Handwriting and keyboarding,,Level 5,LWHwK5,
Literacy,Writing,Handwriting and keyboarding,,Level 5,LWHwK5.1,"fluently writes clearly formed, unjoined letters"
Literacy,Writing,Handwriting and keyboarding,,Level 5,LWHwK5.2,writes all letters with consistent size and spacing between words
Literacy,Writing,Handwriting and keyboarding,,Level 5,LWHwK5.3,begins to use joined letters
Literacy,Writing,Handwriting and keyboarding,,Level 5,LWHwK5.4,maintains legible handwriting throughout a text
Literacy,Writing,Handwriting and keyboarding,,Level 5,LWHwK5.5,uses some features of text editing applications
Literacy,Writing,Handwriting and keyboarding,,Level 5,LWHwK5.6,recognises and uses keys to show more complex punctuation or symbols
Literacy,Writing,Handwriting and keyboarding,,Level 6,LWHwK6,
Literacy,Writing,Handwriting and keyboarding,,Level 6,LWHwK6.1,writes using joined letters of consistent size
Literacy,Writing,Handwriting and keyboarding,,Level 6,LWHwK6.2,slopes writing if appropriate to script
Literacy,Writing,Handwriting and keyboarding,,Level 6,LWHwK6.3,begins to develop quick finger action when keying
Literacy,Writing,Handwriting and keyboarding,,Level 6,LWHwK6.4,fluently handwrites and types to produce a range of texts
Literacy,Writing,Handwriting and keyboarding,,Level 7,LWHwK7,
Literacy,Writing,Handwriting and keyboarding,,Level 7,LWHwK7.1,"writes with a legible, fluent, personal handwriting style"
Literacy,Writing,Handwriting and keyboarding,,Level 7,LWHwK7.2,uses a range of digital applications to compose and edit
Literacy,Writing,Handwriting and keyboarding,,Level 7,LWHwK7.3,self-corrects using appropriate keyboard and screen functions
Literacy,Writing,Handwriting and keyboarding,,Level 8,LWHwK8,
Literacy,Writing,Handwriting and keyboarding,,Level 8,LWHwK8.1,uses handwriting efficiently in formal and informal situations
Literacy,Writing,Handwriting and keyboarding,,Level 8,LWHwK8.2,demonstrates automaticity when using keyboarding and screen functions
Numeracy,,,,,N,
Numeracy,Number sense and algebra,,"<p>The Number sense and algebra element includes 8 sub-elements.</p>
<p>These sub-elements are:</p>
<ul>
<li>Number and place value</li>
<li>Counting processes</li>
<li>Additive strategies</li>
<li>Multiplicative strategies</li>
<li>Interpreting fractions</li>
<li>Proportional thinking</li>
<li>Number patterns and algebraic thinking</li>
<li>Understanding money</li>
</ul>",,NN,
Numeracy,Number sense and algebra,Number and place value,"This sub-element describes how a student becomes increasingly able to recognise, read, represent, order and interpret numbers within our place value number system, expressed in different ways. It outlines key understandings needed to process, communicate and interpret quantitative information in a variety of contexts. ",,NNNPV,
Numeracy,Number sense and algebra,Number and place value,,Level 1,NNNPV1,
Numeracy,Number sense and algebra,Number and place value,,Level 1,NNNPV1NRI,Numeral recognition and identification
Numeracy,Number sense and algebra,Number and place value,,Level 1,NNNPV1.1,"identifies and produces familiar number names and numerals such as those associated with age or home address, but may not distinguish whether they refer to a quantity, an ordinal position or a label (e.g. ""I am \(5\) and my sister is \(7\)""; ""I wear the number \(7\) jumper""; ""I live at \(4\) Baker Street""; ""this is the number \(2\)"")"
Numeracy,Number sense and algebra,Number and place value,,Level 1,NNNPV1PPV,Pre-place value
Numeracy,Number sense and algebra,Number and place value,,Level 1,NNNPV1.2,compares \(2\) collections visually and states which group has more items and which group has less
Numeracy,Number sense and algebra,Number and place value,,Level 1,NNNPV1.3,instantly recognises collections up to \(3\) without needing to count and recognises small quantities as being the same or different
Numeracy,Number sense and algebra,Number and place value,,Level 1,NNNPV1.4,"uses language to describe order and place (e.g. understands ""who wants to go first?""; in the middle; ""who was the last person to read this book?"")"
Numeracy,Number sense and algebra,Number and place value,,Level 2,NNNPV2,
Numeracy,Number sense and algebra,Number and place value,,Level 2,NNNPV2NRI,Numeral recognition and identification
Numeracy,Number sense and algebra,Number and place value,,Level 2,NNNPV2.1,"identifies and names numerals in the range of \(1–10\) (e.g. when asked ""which is \(3\)?"" points to the numeral \(3\); when shown the numeral \(5\), says ""that’s \(5\)"")"
Numeracy,Number sense and algebra,Number and place value,,Level 2,NNNPV2.2,"matches a quantity of items in a collection to the correct number name or numeral in the range of \(1–10\) (e.g. when shown the numeral \(5\) and asked to ""go and collect this many items"", gathers \(5\) items)"
Numeracy,Number sense and algebra,Number and place value,,Level 2,NNNPV2.3,"identifies standard number configurations such as on standard dice or dominos and in other arrangements up to \(6\), using subitising (e.g. moves a counter the correct number of places on a board game based on the roll of a dice; recognises a collection of \(5\) items by perceptually subitising \(3\) and \(2\))"
Numeracy,Number sense and algebra,Number and place value,,Level 2,NNNPV2DPV,Developing place value
Numeracy,Number sense and algebra,Number and place value,,Level 2,NNNPV2.4,"orders numbers represented by numerals to at least \(10\) (e.g. uses number cards, or a number track and places the numerals \(1–10\) in the correct order)"
Numeracy,Number sense and algebra,Number and place value,,Level 2,NNNPV2.5,"indicates the greater or lesser of \(2\) numbers represented by numerals in the range from one to \(10\) (e.g. when shown the numerals \(6\) and \(3\), identifies \(3\) as representing the lesser amount)"
Numeracy,Number sense and algebra,Number and place value,,Level 2,NNNPV2.6,identifies smaller collections within collections to \(10\) such as numbers represented in non-standard number configurations (e.g. recognises \(7\) dots represented in a non-standard configuration by perceptually subitising \(4\) and \(3\); represents numbers less than \(10\) using five- and ten-frames)
Numeracy,Number sense and algebra,Number and place value,,Level 2,NNNPV2.7,demonstrates that one \(10\) is the same as \(10\) ones (e.g. uses physical and virtual materials such as ten-frames and bundles of \(10\))
Numeracy,Number sense and algebra,Number and place value,,Level 3,NNNPV3,
Numeracy,Number sense and algebra,Number and place value,,Level 3,NNNPV3NRI,Numeral recognition and identification
Numeracy,Number sense and algebra,Number and place value,,Level 3,NNNPV3.1,"identifies, names, writes and interprets numerals up to \(20\) (e.g. when shown the numerals \(4, 17, 9\) and \(16\) and asked, ""which is \(16\)?"", points to the numeral \(16\) or when shown the numeral \(17\) says its correct name; when role-playing simple money transactions, counts out? \(9\) one-dollar coins to pay for an item that costs? \(\$9\)"
Numeracy,Number sense and algebra,Number and place value,,Level 3,NNNPV3.2,identifies and uses the \(1–9\) repeating sequence in the writing of teen numerals
Numeracy,Number sense and algebra,Number and place value,,Level 3,NNNPV3.3,identifies a whole quantity as the result of recognising smaller quantities up to \(20\) (e.g. uses part-part-whole knowledge of numbers to solve problems)
Numeracy,Number sense and algebra,Number and place value,,Level 3,NNNPV3DPV,Developing place value
Numeracy,Number sense and algebra,Number and place value,,Level 3,NNNPV3.4,orders numbers from \(1–20\) (e.g. determines the largest number from a group of numbers in the range from one to \(20\); students are allocated a number between one and \(20\) and asked to arrange themselves in numerical order)
Numeracy,Number sense and algebra,Number and place value,,Level 3,NNNPV3.5,represents and describes teen numbers as \(10\) and some more (e.g. \(16\) is \(10\) and \(6\) more; uses ten-frames to represent teen numbers)
Numeracy,Number sense and algebra,Number and place value,,Level 4,NNNPV4,
Numeracy,Number sense and algebra,Number and place value,,Level 4,NNNPV4NRI,Numeral recognition and identification
Numeracy,Number sense and algebra,Number and place value,,Level 4,NNNPV4.1,"identifies, names, writes and interprets numerals up to and beyond \(100\) (e.g. is shown the numerals \(70, 38, 56\) and \(26\) and when asked ""which is \(38\)?"", identifies the numeral \(38\); writes \(18, 81\) and \(108\) with the digits in the correct position; compares the class sizes in a particular year level to determine which class has the greatest number of students)"
Numeracy,Number sense and algebra,Number and place value,,Level 4,NNNPV4.2,"identifies the \(1-9\) repeating sequence of digits, both in and between the decade numerals to order numbers and to predict the number that comes before or after another number (e.g. uses hundreds charts or vertical number lists)"
Numeracy,Number sense and algebra,Number and place value,,Level 4,NNNPV4.3,"identifies zero as both a number and a placeholder for reading and writing larger numerals, denoted by the numeral \(0\)"
Numeracy,Number sense and algebra,Number and place value,,Level 4,NNNPV4PlV,Place value
Numeracy,Number sense and algebra,Number and place value,,Level 4,NNNPV4.4,uses knowledge of place value to order numbers represented as numerals within the range of zero to at least \(100\) (e.g. locates the number \(21\) on a number line between \(20\) and \(22\); re-orders a set of numerals from least to greatest)
Numeracy,Number sense and algebra,Number and place value,,Level 4,NNNPV4.5,"represents and renames two-digit numbers as counts of tens and ones (e.g. \(68\) is \(6\) tens and \(8\) ones, \(68\) ones, or \(60 + 8\); uses physical or virtual materials such as bundles of \(10\) tooth picks or base \(10\) blocks)"
Numeracy,Number sense and algebra,Number and place value,,Level 5,NNNPV5,
Numeracy,Number sense and algebra,Number and place value,,Level 5,NNNPV5NRI,Numeral recognition and identification
Numeracy,Number sense and algebra,Number and place value,,Level 5,NNNPV5.1,"identifies, names, writes and interprets a numeral from a range of numerals up to \(1000\) (e.g. is shown the numerals \(70, 318, 576\) and \(276\) and when asked ""which is \(276\)?’"" identifies \(276\); compares the number of kilojoules in different energy drinks by reading the dietary information )"
Numeracy,Number sense and algebra,Number and place value,,Level 5,NNNPV5PlV,Place value
Numeracy,Number sense and algebra,Number and place value,,Level 5,NNNPV5.2,"orders and flexibly renames three-digit numbers according to their place value (e.g. \(247\) is \(2\) hundreds, \(4\) tens and \(7\) ones or \(2\) hundreds and \(47\) ones or \(24\) tens and \(7\) ones)"
Numeracy,Number sense and algebra,Number and place value,,Level 5,NNNPV5.3,"applies an understanding of zero in place value notation when reading and writing numerals that include internal zeros (e.g. says \(807\) as \(8\) hundred and \(7\) or \(80\) tens and \(7\) ones, not \(80\) and \(7\))"
Numeracy,Number sense and algebra,Number and place value,,Level 6,NNNPV6,
Numeracy,Number sense and algebra,Number and place value,,Level 6,NNNPV6NRI,Numeral recognition and identification
Numeracy,Number sense and algebra,Number and place value,,Level 6,NNNPV6.1,"identifies, reads, writes and interprets numerals beyond \(1000\) applying knowledge of place value, including numerals that contain a zero (e.g. reads \(1345\) as one thousand, \(3\) hundred and \(45\); reads one thousand and \(15\) and writes as \(1015\); compares the size of populations of schools, suburbs, cities and ecosystems or the cost of items in shopping catalogues)"
Numeracy,Number sense and algebra,Number and place value,,Level 6,NNNPV6PlV,Place value
Numeracy,Number sense and algebra,Number and place value,,Level 6,NNNPV6.2,"represents, flexibly partitions and renames four-digit numbers into standard and non-standard place value partitions (e.g. uses grid paper to show the size of each digit in \(2202\); renames \(5645\) as \(3645\) and \(2000\) in order to subtract \(1998\))"
Numeracy,Number sense and algebra,Number and place value,,Level 6,NNNPV6.3,"estimates and rounds natural numbers to the nearest \(10\) or nearest \(100\) (e.g. pencils come in a pack of \(10\), so estimates the number of packs required for \(127\) Year \(6\) students; to check the reasonableness of their solution to the computation \(212 + 195\), rounds both numbers to \(200\))"
Numeracy,Number sense and algebra,Number and place value,,Level 6,NNNPV6.4,represents and names tenths as one out of \(10\) equal parts of a whole (e.g. uses a bar model to represent the whole and its parts; uses a straw that has been cut into \(10\) equal pieces to demonstrate that one piece is one-tenth of a whole straw and \(2\) pieces are two-tenths of the whole straw)
Numeracy,Number sense and algebra,Number and place value,,Level 6,NNNPV6.5,"represents and names one-tenth as its decimal equivalent (e.g. \(0.1\), zero point one)"
Numeracy,Number sense and algebra,Number and place value,,Level 6,NNNPV6.6,extends the place value system to tenths
Numeracy,Number sense and algebra,Number and place value,,Level 7,NNNPV7,
Numeracy,Number sense and algebra,Number and place value,,Level 7,NNNPV7NRI,Numeral recognition and identification
Numeracy,Number sense and algebra,Number and place value,,Level 7,NNNPV7.1,"identifies, reads and writes numerals, beyond \(4\) digits in length, with spacing after every \(3\) digits (e.g. \(10\) \(204\), \(25\)  \(000\) \(000\); \(12\)  \(230.25\); reads \(152\)  \(450\) as ""one hundred and \(52\) thousand \(4\) hundred and \(50\)""; compares the size of populations for different countries or the cost of expensive items with an advertised selling price in the millions)"
Numeracy,Number sense and algebra,Number and place value,,Level 7,NNNPV7.2,"identifies, reads and writes decimals to one and \(2\) decimal places (e.g. reads \(4.75\) as ""four point seven five"" or \(4\) and \(75\) hundredths; writes \(4\) dollars and \(5\) cents as \(\$4.05\))"
Numeracy,Number sense and algebra,Number and place value,,Level 7,NNNPV7PlV,Place value
Numeracy,Number sense and algebra,Number and place value,,Level 7,NNNPV7.3,"estimates and rounds natural numbers to the nearest 10 thousand, thousand etc. recognising the multiplicative relationships between the place value of the digits (e.g. estimates the crowd numbers at a football match; says that the \(\$9863\) raised at a charity event was close to \(\$10\) \(000\); recognises that 200 years is 10 times as large as 20 years, and applies this to environmental change)"
Numeracy,Number sense and algebra,Number and place value,,Level 7,NNNPV7.4,explains that the place value names for decimal numbers relate to the ones place value
Numeracy,Number sense and algebra,Number and place value,,Level 7,NNNPV7.5,"explains and demonstrates that the place value system extends beyond tenths to hundredths, thousandths … (e.g. uses decimals to represent part units of measurement for length, mass, capacity and temperature)"
Numeracy,Number sense and algebra,Number and place value,,Level 7,NNNPV7.6,"represents, compares, orders and interprets decimals up to \(2\) decimal places (e.g. constructs a number line to include decimal values between zero and one, when asked ""which is greater \(0.19\) or \(0.2\)?"", responds ""\(0.2\)"" ; interprets and compares measurements such as the temperature on different days or the change in height of a growing plant observed and recorded during science investigations)"
Numeracy,Number sense and algebra,Number and place value,,Level 7,NNNPV7.7,rounds decimals to the nearest natural number in order to estimate answers (e.g. estimates the length of material needed by rounding up the measurement to the nearest natural number)
Numeracy,Number sense and algebra,Number and place value,,Level 8,NNNPV8,
Numeracy,Number sense and algebra,Number and place value,,Level 8,NNNPV8NRI,Numeral recognition and identification
Numeracy,Number sense and algebra,Number and place value,,Level 8,NNNPV8.1,"identifies, reads, writes and interprets decimal numbers applying knowledge of the place value periods of tenths, hundredths and thousandths and beyond"
Numeracy,Number sense and algebra,Number and place value,,Level 8,NNNPV8PlV,Place value
Numeracy,Number sense and algebra,Number and place value,,Level 8,NNNPV8.2,"compares the size of decimals to other numbers including natural numbers and decimals expressed to different numbers of places (e.g. selects \(0.35\) as the greatest number from the set \(0.2, 0.125, 0.35\); explains that \(2\) is greater than \(1.845\))"
Numeracy,Number sense and algebra,Number and place value,,Level 8,NNNPV8.3,describes the multiplicative relationship between the adjacent positions in place value for decimals (e.g. understands that \(0.2\) is \(10\) times as great as \(0.02\) and that \(100\) times \(0.005\) is \(0.5\))
Numeracy,Number sense and algebra,Number and place value,,Level 8,NNNPV8.4,"compares and orders decimals greater than one including those expressed to an unequal number of places (e.g. compares the heights of students in the class that are expressed in metres such as \(1.6\) m is taller than \(1.52\) m; correctly orders the numbers \(1.4\), \(1.375\) and \(2.15\) from least to greatest)"
Numeracy,Number sense and algebra,Number and place value,,Level 8,NNNPV8.5,rounds decimals to one and 2 decimal places for a purpose
Numeracy,Number sense and algebra,Number and place value,,Level 9,NNNPV9,
Numeracy,Number sense and algebra,Number and place value,,Level 9,NNNPV9NRI,Numeral recognition and identification
Numeracy,Number sense and algebra,Number and place value,,Level 9,NNNPV9.1,"reads, represents, interprets and uses negative numbers in computation (e.g. explains that the temperature ?\(10\) °C is colder than the temperature ?\(2.5\) °C; recognises that negative numbers are less than zero; locates ?\(12\) on a number line)"
Numeracy,Number sense and algebra,Number and place value,,Level 9,NNNPV9PlV,Place value
Numeracy,Number sense and algebra,Number and place value,,Level 9,NNNPV9.2,identifies that negative numbers are integers that represent both size and direction (e.g. uses a number line to represent position and order negative numbers; uses negative numbers in financial contexts such as to model an overdrawn account)
Numeracy,Number sense and algebra,Number and place value,,Level 9,NNNPV9.3,"understands that multiplying and dividing numbers by \(10, 100, 1000\) changes the positional value of the digits (e.g. explains that \(100\) times \(0.125\) is \(12.5\) because each digit value in \(0.125\) is multiplied by \(100\), so \(100 \times 0.1\) is \(10\), \(100 \times 0.02\) is \(2\) and \(100 \times 0.005\) is \(0.5\); converts between units of centimetres and millimetres when planning, measuring and marking materials for cutting)"
Numeracy,Number sense and algebra,Number and place value,,Level 9,NNNPV9.4,"rounds decimals to a specified number of decimal places for a purpose (e.g. the mean distance thrown in a school javelin competition was rounded to \(2\) decimal places; if the percentage profit was calculated as \(12.467921\)%,  rounds the calculation to \(12.5\)%)"
Numeracy,Number sense and algebra,Number and place value,,Level 10,NNNPV10,
Numeracy,Number sense and algebra,Number and place value,,Level 10,NNNPV10NRI,Numeral recognition and identification
Numeracy,Number sense and algebra,Number and place value,,Level 10,NNNPV10.1,"identifies, reads and interprets very large numbers and very small numbers (e.g. reads that the world population is estimated to be seven billion and interprets this to mean \(7 \) \(000\) \(000\) \(000\) or \(7 \times 10^9\); interprets the approximate mass of protons and neutrons as \(1.67 \times10^{-24}\)g; identifies and interprets the value of national government debt)"
Numeracy,Number sense and algebra,Number and place value,,Level 10,NNNPV10PlV,Place value
Numeracy,Number sense and algebra,Number and place value,,Level 10,NNNPV10.2,compares and orders very large numbers and very small numbers (e.g. understands the relative size of very large time scales such as a millennium)
Numeracy,Number sense and algebra,Number and place value,,Level 10,NNNPV10.3,"relates place value parts to exponents (e.g. \(1000\) is \(100\) times greater than \(10\), and that is why \(10 \times 10^2 = 10^3\) and why \(10^3\) divided by \(10\) is equal to \(10^2\))"
Numeracy,Number sense and algebra,Number and place value,,Level 10,NNNPV10.4,expresses numbers in scientific notation (e.g. when calculating the distance of the Earth from the sun uses \(1.5\times 10^8\) as an approximation; a nanometre has an order of magnitude of ?\(9\) and is represented as \(10^{-9}\))
Numeracy,Number sense and algebra,Counting processes,"<p>This sub-element describes how a student becomes increasingly able to count both verbally, through the stable order of a counting sequence, and perceptually through counting collections. As students make the link between counting ‘how many’ and the quantities represented by numbers, they begin to understand cardinality and the purpose of counting.</p>",,NNCPr,
Numeracy,Number sense and algebra,Counting processes,,Level 1,NNCPr1,
Numeracy,Number sense and algebra,Counting processes,,Level 1,NNCPr1CoS,Counting sequences
Numeracy,Number sense and algebra,Counting processes,,Level 1,NNCPr1.1,identifies number words when reciting counting rhymes or when asked to count (e.g. holds up \(3\) fingers to represent \(3\) little ducks)
Numeracy,Number sense and algebra,Counting processes,,Level 1,NNCPr1PeC,Pre-counting
Numeracy,Number sense and algebra,Counting processes,,Level 1,NNCPr1.2,"subitises small collections of objects, typically up to \(3\) items (e.g. recognises and names the number of dots on a card or how many fingers are held up out of one, \(2\) or \(3\))"
Numeracy,Number sense and algebra,Counting processes,,Level 2,NNCPr2,
Numeracy,Number sense and algebra,Counting processes,,Level 2,NNCPr2CoS,Counting sequences
Numeracy,Number sense and algebra,Counting processes,,Level 2,NNCPr2.1,"counts in stable counting order from one within a known number range (e.g. engages with counting in nursery rhymes, songs and children’s literature)"
Numeracy,Number sense and algebra,Counting processes,,Level 2,NNCPr2PeC,Perceptual counting
Numeracy,Number sense and algebra,Counting processes,,Level 2,NNCPr2.2,conceptually subitises a collection up to \(5\) (e.g. recognises a collection of \(5\) items as a result of perceptually subitising smaller parts such as \(3\) and \(2\))
Numeracy,Number sense and algebra,Counting processes,,Level 2,NNCPr2.3,counts a small number of items typically less than \(4\)
Numeracy,Number sense and algebra,Counting processes,,Level 2,NNCPr2.4,"engages in basic counting during play-based activities such as cooking or shopping (e.g. places \(3\) bananas in a shopping basket one at a time and says ""\(1, 2, 3\)"")"
Numeracy,Number sense and algebra,Counting processes,,Level 3,NNCPr3,
Numeracy,Number sense and algebra,Counting processes,,Level 3,NNCPr3CoS,Counting sequences
Numeracy,Number sense and algebra,Counting processes,,Level 3,NNCPr3.1,"counts forward by one using the full counting sequence to determine the number before or after a given number, within the range of \(1–10\) (e.g. when asked what number comes after \(6\), counts from one in sequence up to \(7\) then says ""it’s \(7\)""; when asked what number comes before \(6\), counts from one, \(1, 2, 3, 4, 5, 6\) and responds ""its \(5\)"")"
Numeracy,Number sense and algebra,Counting processes,,Level 3,NNCPr3PeC,Perceptual counting
Numeracy,Number sense and algebra,Counting processes,,Level 3,NNCPr3.2,"matches the count to objects, using one-to-one correspondence (e.g. counts visible or orderly items by ones; may use objects, tally marks, bead strings, sounds or fingers to count; identifies that \(2\) sirens means it is lunchtime)"
Numeracy,Number sense and algebra,Counting processes,,Level 3,NNCPr3.3,"determines that the last number said in a count names the quantity or total of that collection (e.g. when asked ""how many"" after they have counted the collection, repeats the last number in the count and indicates that it refers to the number of items in the collection)"
Numeracy,Number sense and algebra,Counting processes,,Level 4,NNCPr4,
Numeracy,Number sense and algebra,Counting processes,,Level 4,NNCPr4CoS,Counting sequences
Numeracy,Number sense and algebra,Counting processes,,Level 4,NNCPr4.1,"uses knowledge of the counting sequence to determine the next number or previous number from a number in the range \(1–10\) (e.g. when asked what number comes directly after \(8\), immediately responds with ""\(9\)"" without needing to count from one)"
Numeracy,Number sense and algebra,Counting processes,,Level 4,NNCPr4.2,continues a count starting from a number other than one
Numeracy,Number sense and algebra,Counting processes,,Level 4,NNCPr4PeC,Perceptual counting
Numeracy,Number sense and algebra,Counting processes,,Level 4,NNCPr4.3,interprets the count independently of the type of objects being counted (e.g. a quantity of \(5\) counters is the same quantity as \(5\) basketball courts)
Numeracy,Number sense and algebra,Counting processes,,Level 4,NNCPr4.4,"counts a collection, keeping track of items that have been counted and those that haven’t been counted yet to ensure they are only counted exactly once (e.g. when asked to count a pile of blocks, moves each block to the side as it is counted)"
Numeracy,Number sense and algebra,Counting processes,,Level 5,NNCPr5,
Numeracy,Number sense and algebra,Counting processes,,Level 5,NNCPr5CoS,Counting sequences
Numeracy,Number sense and algebra,Counting processes,,Level 5,NNCPr5.1,uses knowledge of the counting sequence to determine the next number or previous number from any starting point within the range \(1–100\)
Numeracy,Number sense and algebra,Counting processes,,Level 5,NNCPr5PeC,Perceptual counting
Numeracy,Number sense and algebra,Counting processes,,Level 5,NNCPr5.2,"matches known numerals to collections of up to \(20\), counting items using a one-to-one correspondence"
Numeracy,Number sense and algebra,Counting processes,,Level 5,NNCPr5.3,"uses zero to denote when no objects are present (e.g. when asked ""how many cards have you got?"" and has no cards left, says ""zero"")"
Numeracy,Number sense and algebra,Counting processes,,Level 5,NNCPr5.4,"counts objects in a collection independent of the order, appearance or arrangement (e.g. understands that counting \(7\) people in a row from left to right is the same as counting them from right to left)"
Numeracy,Number sense and algebra,Counting processes,,Level 6,NNCPr6,
Numeracy,Number sense and algebra,Counting processes,,Level 6,NNCPr6CoS,Counting sequences
Numeracy,Number sense and algebra,Counting processes,,Level 6,NNCPr6.1,continues counting from any number forwards and backwards beyond \(100\) using knowledge of place value
Numeracy,Number sense and algebra,Counting processes,,Level 6,NNCPr6.2,"counts in sequence by twos and fives starting at zero (e.g. counts items using number rhymes ""\(2, 4, 6, 8\) Mary’s at the cottage gate …""; skip counts in fives as ""\(5, 10, 15, 20\)"")"
Numeracy,Number sense and algebra,Counting processes,,Level 6,NNCPr6.3,counts in sequence forwards and backwards by tens on the decade up to \(100\)
Numeracy,Number sense and algebra,Counting processes,,Level 6,NNCPr6PeC,Perceptual counting
Numeracy,Number sense and algebra,Counting processes,,Level 6,NNCPr6.4,"counts items in groups of twos, fives and tens (e.g. counts a quantity of \(10\)-cent pieces as \(10, 20, 30\) … to give the total value of the coins; counts the number of students by twos when lined up in pairs)"
Numeracy,Number sense and algebra,Counting processes,,Level 7,NNCPr7,
Numeracy,Number sense and algebra,Counting processes,,Level 7,NNCPr7CoS,Counting sequences
Numeracy,Number sense and algebra,Counting processes,,Level 7,NNCPr7.1,"counts in sequence forwards and backwards by tens or fives off the decade to \(100\) and by hundreds up to \(1000\) and beyond using knowledge of place value (e.g. \(2, 12, 22\) … or \(8, 13, 18, 23\); \(100, 200\) … \(1000\))"
Numeracy,Number sense and algebra,Counting processes,,Level 7,NNCPr7PeC,Perceptual counting
Numeracy,Number sense and algebra,Counting processes,,Level 7,NNCPr7.2,"counts large quantities in groups or multiples (e.g. groups items into piles of \(10\), then counts the piles, adding on the residual to quantify the whole collection)"
Numeracy,Number sense and algebra,Counting processes,,Level 7,NNCPr7.3,estimates the number of items to count to assist with determining group sizes (e.g. decides that counting in twos would not be the most efficient counting strategy based on a quick estimate of the quantity and decides instead to use groups of \(10\))
Numeracy,Number sense and algebra,Counting processes,,Level 8,NNCPr8,
Numeracy,Number sense and algebra,Counting processes,,Level 8,NNCPr8CoS,Counting sequences
Numeracy,Number sense and algebra,Counting processes,,Level 8,NNCPr8.1,counts forwards and backwards from any number
Numeracy,Number sense and algebra,Counting processes,,Level 8,NNCPr8.2,"applies counting processes flexibly to count in rational numbers (e.g. counts in thirds such as \(\frac13\), \(\frac23, 1, 1\frac13, 1\frac23, 2\) …; starting from \(4\) counts backwards by \(0.3\) (e.g. \(4, 3.7, 3.4, 3.1\) …)"
Numeracy,Number sense and algebra,Counting processes,,Level 8,NNCPr8.3,"counts backwards from zero understanding that the count can be extended in the negative direction (e.g. \(0\), -\(1\), -\(2\), -\(3\), -\(4\))"
Numeracy,Number sense and algebra,Counting processes,,Level 8,NNCPr8AbC,Abstract counting
Numeracy,Number sense and algebra,Counting processes,,Level 8,NNCPr8.4,applies counting processes to quantify any type of conceivable collection (e.g. systematically counts the number of possible outcomes of an event; applies a frequency count; estimates and compares the difference between a word or character count in a text)
Numeracy,Number sense and algebra,Additive strategies,"<p>This sub-element describes how a student becomes increasingly able to think additively, represent a wide range of additive situations and choose and use computational strategies for different purposes.  The ability to understand the nature of change to a quantity where numbers are treated as the sum of their parts, is essential to become fluent users of number.</p>",,NNAdS,
Numeracy,Number sense and algebra,Additive strategies,,Level 1,NNAdS1,
Numeracy,Number sense and algebra,Additive strategies,,Level 1,NNAdS1EmS,Emergent strategies
Numeracy,Number sense and algebra,Additive strategies,,Level 1,NNAdS1.1,"describes the effects of ""adding to"" and ""taking away"" from a collection of objects"
Numeracy,Number sense and algebra,Additive strategies,,Level 1,NNAdS1.2,combines \(2\) groups of objects and attempts to determine the total
Numeracy,Number sense and algebra,Additive strategies,,Level 2,NNAdS2,
Numeracy,Number sense and algebra,Additive strategies,,Level 2,NNAdS2PeS,Perceptual strategies
Numeracy,Number sense and algebra,Additive strategies,,Level 2,NNAdS2.1,"represents additive situations involving a small number of items with objects, drawings and diagrams"
Numeracy,Number sense and algebra,Additive strategies,,Level 2,NNAdS2.2,"counts or subitises all items to determine the result when \(2\) collections are combined or when a quantity is taken away from a collection (e.g. when told ""I have \(3\) red bottle tops in this pile and \(2\) blue bottle tops in this pile how many do I have all together?"" counts each bottle top ""One, \(2, 3\)"" then ""\(4, 5\)"" responding ""\(5\)"")"
Numeracy,Number sense and algebra,Additive strategies,,Level 2,NNAdS2.3,"changes a quantity by adding to or taking from an initial quantity, using physical or virtual materials or fingers"
Numeracy,Number sense and algebra,Additive strategies,,Level 2,NNAdS2.4,"combines \(2\) or more collections of objects to form collections up to \(10\) and partitions collections of up to \(10\) items, to identify smaller quantities within the collection"
Numeracy,Number sense and algebra,Additive strategies,,Level 3,NNAdS3,
Numeracy,Number sense and algebra,Additive strategies,,Level 3,NNAdS3FIU,Figurative
Numeracy,Number sense and algebra,Additive strategies,,Level 3,NNAdS3.1,"solves additive tasks involving \(2\) concealed collections of items by visualising the numbers, then counts from one to determine the total (e.g. constructs a mental image of \(5\) and of \(3\) but when asked to combine to give a total, counts from one and may use head gestures to keep track of the count)"
Numeracy,Number sense and algebra,Additive strategies,,Level 4,NNAdS4,
Numeracy,Number sense and algebra,Additive strategies,,Level 4,NNAdS4CO1,Counting on (by ones)
